Hawaii Ocean Time-series : 29-Apr-2024 01:18:44
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hplc, 
#, mmddyy, hhmmss, dbar, ng/l, 
0320201819, 120891, 071821,   24.8, 119.0,
0320201818, 120891, 071757,   24.8, 117.0,
0320201817, 120891, 071655,   45.1, 116.0,
0320201816, 120891, 071525,   75.0, 127.0,
0320201815, 120891, 071431,   90.9, 172.0,
0320201814, 120891, 071244,  100.8, 238.0,
0320201813, 120891, 071224,  101.1, 239.0,
0320201812, 120891, 071140,  111.2, 207.0,
0320201811, 120891, 071044,  126.2, 122.0,
0320201810, 120891, 070857,  152.7,  82.0,
0320201809, 120891, 070621,  171.4,  11.0,
0330201517, -00009, -00009,    7.0, 102.0,
0330201516, -00009, -00009,   26.3, 100.0,
0330201515, -00009, -00009,   26.3,  97.0,
0330201514, -00009, -00009,   45.6, 141.0,
0330201513, -00009, -00009,   76.3, 274.0,
0330201512, -00009, -00009,   81.5, 280.0,
0330201511, -00009, -00009,   86.4, 301.0,
0330201510, -00009, -00009,   91.4, 312.0,
0330201509, -00009, -00009,   96.5, 250.0,
0330201508, -00009, -00009,  101.5, 202.0,
0330201507, -00009, -00009,  101.3, 189.0,
0330201505, -00009, -00009,  126.4, 121.0,
0330201504, -00009, -00009,  152.7,  53.0,
0330201503, -00009, -00009,  172.1,   8.0,
0340201822, 021692, 085557,    7.3,  87.0,
0340201820, 021692, 085359,   27.6, 114.0,
0340201819, 021692, 085255,   47.6, 135.0,
0340201818, 021692, 085148,   77.7, 181.0,
0340201817, 021692, 085113,   82.9, 201.0,
0340201816, 021692, 085027,   88.6, 234.0,
0340201815, 021692, 084938,   93.5, 279.0,
0340201814, 021692, 084842,   98.6, 300.0,
0340201813, 021692, 084755,  103.3, 266.0,
0340201810, 021692, 084551,  126.8, 133.0,
0340201808, 021692, 084408,  146.9,  60.0,
0340201807, 021692, 084208,  175.1,  32.0,
0350200818, -00009, -00009,   13.8,  79.0,
0350200817, -00009, -00009,   26.4,  81.0,
0350200816, -00009, -00009,   46.6, 108.0,
0350200815, -00009, -00009,   79.1, 154.0,
0350200814, -00009, -00009,   91.3, 217.0,
0350200813, -00009, -00009,  100.6, 236.0,
0350200812, -00009, -00009,  105.7, 302.0,
0350200811, -00009, -00009,  110.5, 290.0,
0350200810, -00009, -00009,  115.4, 195.0,
0350200808, -00009, -00009,  131.9, 110.0,
0350200807, -00009, -00009,  142.5,  51.0,
0350200806, -00009, -00009,  177.4,  23.0,
0350200805, -00009, -00009,  201.2,  10.0,
0360201423, -00009, -00009,    7.3,  74.0,
0360201422, -00009, -00009,   28.1,  73.0,
0360201421, -00009, -00009,   48.1,  78.0,
0360201420, -00009, -00009,   78.6,  91.0,
0360201419, -00009, -00009,  104.4, 124.0,
0360201418, -00009, -00009,  114.5, 141.0,
0360201417, -00009, -00009,  124.5, 271.0,
0360201416, -00009, -00009,  129.3, 282.0,
0360201415, -00009, -00009,  134.4, 260.0,
0360201413, -00009, -00009,  144.4, 187.0,
0360201412, -00009, -00009,  154.3, 136.0,
0360201411, -00009, -00009,  168.6,  95.0,
0360201410, -00009, -00009,  178.7,  32.0,
0360201409, -00009, -00009,  203.7,  18.0,
0370201217, 061092, 100258,    9.0,  80.0,
0370201216, 061092, 100159,   28.8,  82.0,
0370201215, 061092, 100047,   48.4,  89.0,
0370201214, 061092, 095915,   79.0, 168.0,
0370201213, 061092, 095757,  104.4, 283.0,
0370201212, 061092, 095701,  119.3, 337.0,
0370201211, 061092, 095620,  123.7, 342.0,
0370201210, 061092, 095521,  129.0, 227.0,
0370201209, 061092, 095429,  134.0, 182.0,
0370201208, 061092, 095324,  139.0, 138.0,
0370201207, 061092, 095206,  156.5,  99.0,
0370201206, 061092, 095010,  180.3,  52.0,
0380201619, 070692, 132331,    9.6,  57.0,
0380201618, 070692, 132226,   29.3,  59.0,
0380201617, 070692, 132136,   47.5,  76.0,
0380201616, 070692, 132037,   78.4, 182.0,
0380201615, 070692, 131955,   88.6, 221.0,
0380201614, 070692, 131905,   98.8, 252.0,
0380201613, 070692, 131821,  109.0, 261.0,
0380201612, 070692, 131741,  114.1, 238.0,
0380201611, 070692, 131702,  119.0, 201.0,
0380201610, 070692, 131623,  124.8, 138.0,
0380201609, 070692, 131540,  134.9, 103.0,
0380201608, 070692, 131444,  154.6,  61.0,
0380201607, 070692, 131332,  179.0,  22.0,
0380201606, 070692, 131231,  204.1,   5.0,
0390200517, 080592, 073823,    9.8,  64.0,
0390200516, 080592, 073723,   29.9,  59.0,
0390200515, 080592, 073709,   29.7,  57.0,
0390200514, 080592, 073611,   49.0,  74.0,
0390200513, 080592, 073516,   64.5,  87.0,
0390200512, 080592, 073413,   79.7, 152.0,
0390200511, 080592, 073326,   88.8, 201.0,
0390200510, 080592, 073231,  104.4, 265.0,
0390200509, 080592, 073124,  119.7, 275.0,
0390200508, 080592, 073032,  128.6, 250.0,
0390200507, 080592, 072935,  141.0, 252.0,
0390200506, 080592, 072818,  158.6, 112.0,
0390200505, 080592, 072657,  177.3,  28.0,
0400201516, -00009, -00009,    5.4,  69.0,
0400201515, -00009, -00009,   25.3,  75.0,
0400201514, -00009, -00009,   44.9, 110.0,
0400201513, -00009, -00009,   60.1, 135.0,
0400201512, -00009, -00009,   74.1, 207.0,
0400201511, -00009, -00009,   89.3, 235.0,
0400201510, -00009, -00009,   99.6, 273.0,
0400201509, -00009, -00009,  109.5, 297.0,
0400201508, -00009, -00009,  124.7, 152.0,
0400201507, -00009, -00009,  134.7, 155.0,
0400201506, -00009, -00009,  149.9,  42.0,
0400201505, -00009, -00009,  174.8,  31.0,
0410201518, -00009, -00009,    5.8,  72.0,
0410201517, -00009, -00009,   24.7,  69.0,
0410201516, -00009, -00009,   44.4,  69.0,
0410201515, -00009, -00009,   75.5, 150.0,
0410201514, -00009, -00009,   90.7, 195.0,
0410201513, -00009, -00009,   95.7, 218.0,
0410201512, -00009, -00009,  100.8, 287.0,
0410201511, -00009, -00009,  105.8, 292.0,
0410201510, -00009, -00009,  115.7, 154.0,
0410201509, -00009, -00009,  125.9, 102.0,
0410201508, -00009, -00009,  151.8,  51.0,
0410201507, -00009, -00009,  175.7,  37.0,
0410201506, -00009, -00009,  201.2,   8.0,
0420200512, -00009, -00009,    5.0,  71.0,
0420200511, -00009, -00009,   25.0,  69.0,
0420200510, -00009, -00009,   60.0,  73.0,
0420200509, -00009, -00009,   80.0,  87.0,
0420200508, -00009, -00009,   90.0, 119.0,
0420200507, -00009, -00009,  100.0, 135.0,
0420200506, -00009, -00009,  110.0, 265.0,
0420200505, -00009, -00009,  125.0, 271.0,
0420200504, -00009, -00009,  150.0, 129.0,
0420200503, -00009, -00009,  175.0,  27.0,
0420200502, -00009, -00009,  200.0,  16.0,
0430200212, -00009, -00009,    5.0,  82.0,
0430200211, -00009, -00009,   25.0,  85.0,
0430200210, -00009, -00009,   45.0,  92.0,
0430200209, -00009, -00009,   75.0, 201.0,
0430200208, -00009, -00009,   90.0, 254.0,
0430200207, -00009, -00009,  100.0, 281.0,
0430200206, -00009, -00009,  110.0, 375.0,
0430200205, -00009, -00009,  120.0, 217.0,
0430200204, -00009, -00009,  130.0, 174.0,
0430200203, -00009, -00009,  140.0, 145.0,
0430200202, -00009, -00009,  150.0, 107.0,
0440201312, 012193, 114728,    5.2, 142.0,
0440201311, 012193, 114612,   24.7, 143.0,
0440201310, 012193, 114512,   43.4, 149.0,
0440201308, 012193, 114258,   90.0, 187.0,
0440201306, 012193, 114106,  113.4, 177.0,
0440201305, 012193, 114002,  124.5, 103.0,
0440201304, 012193, 113843,  150.9,  45.0,
0440201303, 012193, 113719,  176.5,   4.0,
0450201521, -00009, -00009,    5.8,  67.0,
0450201520, -00009, -00009,   26.1,  71.0,
0450201519, -00009, -00009,   46.0,  95.0,
0450201518, -00009, -00009,   64.9, 264.0,
0450201517, -00009, -00009,   71.0, 282.0,
0450201516, 021893, 094807,   75.5, 342.0,
0450201515, 021893, 094627,   85.2, 345.0,
0450201514, 021893, 094501,   95.2, 254.0,
0450201513, 021893, 094357,  105.2, 229.0,
0450201512, 021893, 094300,  125.2,  75.0,
0450201511, 021893, 094205,  150.9,  49.0,
0450201510, 021893, 094111,  176.6,   3.0,
0460200924, 041593, 074146,    5.8,  64.0,
0460200923, 041593, 073917,   23.7,  69.0,
0460200922, 041593, 073706,   43.8,  63.0,
0460200921, 041593, 073446,   74.2,  93.0,
0460200920, 041593, 073259,   89.6, 182.0,
0460200919, 041593, 073056,  100.2, 262.0,
0460200918, 041593, 072907,  103.7, 270.0,
0460200917, 041593, 072714,  109.2, 290.0,
0460200916, 041593, 072534,  114.1, 268.0,
0460200911, 041593, 071518,  119.5, 290.0,
0460200910, 041593, 071311,  124.6, 312.0,
0460200909, 041593, 071047,  135.1, 268.0,
0460200908, 041593, 070838,  149.8, 173.0,
0460200903, 041593, 065936,  173.1,  64.0,
0470200324, 052093, 075149,    6.7,  65.0,
0470200323, 052093, 075043,   24.5,  76.0,
0470200322, 052093, 074926,   45.1,  74.0,
0470200321, 052093, 074754,   75.7, 145.0,
0470200320, 052093, 074629,  100.7, 178.0,
0470200319, 052093, 074528,  109.4, 256.0,
0470200318, 052093, 074420,  119.2, 269.0,
0470200317, 052093, 074250,  128.8, 237.0,
0470200316, 052093, 074152,  135.1, 242.0,
0470200311, 052093, 073917,  140.2, 235.0,
0470200310, 052093, 073817,  144.1, 210.0,
0470200309, 052093, 073646,  160.8, 109.0,
0470200308, 052093, 073515,  174.7,  39.0,
0470200303, 052093, 073115,  203.0,  22.0,
