Hawaii Ocean Time-series : 07-Sep-2023 21:39:02
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, p15n, 
#, mmddyy, hhmmss, dbar, permil, 
1610200408, 071404, 014304,  125.8,   0.64,
1610200405, 071404, 014113,  149.3,   2.23,
1610200402, 071404, 013913,  174.6,   4.27,
1620200619, 081604, 035832,    4.5,  -0.40,
1620200617, 081604, 035520,   45.0,   0.79,
1620200616, 081604, 035335,   75.0,   1.27,
1620200615, 081604, 035157,   99.5,   1.40,
1620200609, 081604, 034852,  123.8,   0.66,
1620200608, 081604, 034622,  150.6,   2.32,
1620200607, 081604, 034437,  174.9,   4.61,
1630200619, 092904, 034951,    5.1,   0.58,
1630200618, 092904, 034840,   25.0,   0.23,
1630200617, 092904, 034710,   44.0,   0.11,
1630200616, 092904, 034550,   75.1,   0.72,
1630200615, 092904, 034420,   99.9,   0.69,
1630200609, 092904, 034210,  124.3,   2.67,
1630200608, 092904, 034050,  149.2,   2.57,
1630200607, 092904, 033930,  174.7,   5.05,
1640200514, 103104, 035051,    4.9,  -0.42,
1640200513, 103104, 034903,   25.8,  -0.31,
1640200512, 103104, 034742,   45.5,  -1.37,
1640200511, 103104, 034632,   75.6,   0.61,
1640200510, 103104, 034522,   98.5,  -0.36,
1640200509, 103104, 034408,  124.9,   2.03,
1640200508, 103104, 034246,  150.1,   2.51,
1640200507, 103104, 034121,  176.3,   4.55,
1650201217, 112804, 215356,    5.0,   0.17,
1650201215, 112804, 215226,   24.8,   0.13,
1650201213, 112804, 215106,   45.1,   0.15,
1650201211, 112804, 214936,   75.2,   0.47,
1650201210, 112804, 214816,  100.1,   0.77,
1650201209, 112804, 214656,  124.6,   3.67,
1650201208, 112804, 214545,  150.7,   4.00,
1650201207, 112804, 214430,  175.0,   5.18,
1650201206, 112804, 214317,  199.8,   5.72,
