Hawaii Ocean Time-series : 05-Sep-2023 23:00:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, doc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0760200617, 100296, 065430,   59.6,  99.81,
0760200616, 100296, 065318,   73.8,  95.11,
0760200615, 100296, 065212,   84.6,  95.60,
0760200614, 100296, 065118,   94.5,  95.02,
0760200613, 100296, 065016,  103.7,  90.28,
0760200612, 100296, 064908,  115.3,  86.91,
0760200611, 100296, 064808,  124.3,  83.01,
0760200610, 100296, 064710,  134.8,  75.68,
0760200609, 100296, 064608,  148.7,  75.59,
0760200608, 100296, 064500,  159.4,  71.49,
0760200607, 100296, 064358,  175.1,  68.95,
0760200606, 100296, 064306,  183.8,  64.26,
0760200605, 100296, 064200,  199.9,  63.19,
0770200422, 103096, 070334,    4.3, 100.78,
0770200421, 103096, 070232,   14.7, 101.27,
0770200419, 103096, 070052,   24.2,  98.83,
0770200418, 103096, 065934,   34.9, 102.74,
0770200417, 103096, 065806,   43.7, 101.91,
0770200416, 103096, 065650,   59.6,  95.51,
0770200415, 103096, 065528,   74.1,  97.56,
0770200414, 103096, 065424,   84.4,  94.33,
0770200413, 103096, 065310,   95.4,  95.41,
0770200412, 103096, 065202,  104.4,  92.87,
0770200411, 103096, 065052,  114.2,  88.77,
0770200410, 103096, 064946,  123.8,  82.03,
