Hawaii Ocean Time-series : 12-Sep-2023 23:47:19
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2190200505, 031010, 181441,  172.8,  0.021,
2200200219, 040610, 134244,    4.7,  1.643,
2200200216, 040610, 134108,   25.3,  1.672,
2200200213, 040610, 133918,   44.1,  1.703,
2200200210, 040610, 133708,   77.4,  1.853,
2200200207, 040610, 133508,   98.5,  1.940,
2200200204, 040610, 133315,  123.3,  0.530,
2200200202, 040610, 133147,  150.0,  0.108,
2200200201, 040610, 133019,  174.2,  0.026,
2210200221, 051810, 124205,    5.0,  1.526,
2210200218, 051810, 124008,   23.1,  1.538,
2210200215, 051810, 123717,   44.4,  1.796,
2210200212, 051810, 123452,   74.4,  2.251,
2210200209, 051810, 123240,  100.4,  1.385,
2210200206, 051810, 123023,  125.1,  0.430,
2210200204, 051810, 122828,  150.2,  0.170,
2210200203, 051810, 122652,  176.4,  0.085,
2220200221, 060810, 121823,    5.5,  1.602,
2220200218, 060810, 121633,   25.1,  1.504,
2220200214, 060810, 121428,   44.6,  1.838,
2220200211, 060810, 121228,   75.4,  1.943,
2220200209, 060810, 121010,  100.1,  1.004,
2220200206, 060810, 120808,  127.3,  0.690,
2220200204, 060810, 120542,  147.8,  0.437,
2220200203, 060810, 120348,  180.0,  0.054,
2230200221, 070810, 125620,    5.8,  1.769,
2230200218, 070810, 125132,   25.7,  1.584,
2230200215, 070810, 124843,   46.2,  1.800,
2230200212, 070810, 124531,   75.4,  2.147,
2230200209, 070810, 124211,  100.5,  1.760,
2230200206, 070810, 123831,  125.7,  0.901,
2230200204, 070810, 123556,  150.6,  0.379,
2230200203, 070810, 123246,  175.0,  0.063,
2240200220, 080710, 122246,    6.0,  1.607,
2240200217, 080710, 121914,   24.9,  1.621,
2240200214, 080710, 121643,   45.1,  1.725,
2240200211, 080710, 121359,   75.4,  2.176,
2240200208, 080710, 121117,  100.2,  2.133,
2240200205, 080710, 120848,  125.1,  1.273,
2240200204, 080710, 120503,  151.2,  0.405,
2240200203, 080710, 120243,  176.2,  0.202,
2250200220, 090310, 123611,    6.6,  1.832,
2250200217, 090310, 123307,   25.0,  1.847,
2250200214, 090310, 123049,   45.0,  1.997,
2250200211, 090310, 122817,   75.3,  2.411,
2250200208, 090310, 122539,  100.3,  1.585,
2250200205, 090310, 122309,  124.5,  0.487,
2250200204, 090310, 122104,  149.9,  0.177,
2250200203, 090310, 121908,  176.9,  0.011,
2260200220, 100310, 120503,    5.7,  1.752,
2260200217, 100310, 120223,   24.5,  2.140,
2260200214, 100310, 115929,   45.5,  2.148,
2260200211, 100310, 115619,   76.0,  2.704,
2260200208, 100310, 115323,  100.8,  1.611,
2260200205, 100310, 115038,  126.0,  0.368,
2260200204, 100310, 114823,  150.2,  0.118,
2260200203, 100310, 114608,  175.3,  0.026,
2270200320, 112110, 125609,    5.7,  2.028,
2270200317, 112110, 125420,   25.2,  2.200,
2270200314, 112110, 125243,   45.0,  2.244,
2270200311, 112110, 125042,   75.2,  2.321,
2270200308, 112110, 124853,  100.3,  1.751,
2270200305, 112110, 124706,  125.6,  0.602,
