Hawaii Ocean Time-series : 08-Sep-2023 01:30:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chl3, 
#, mmddyy, hhmmss, dbar, ng/l, 
0500201408, 103093, 090837,  137.1,   5.0,
0500201407, 103093, 090700,  151.7,   1.0,
2790201421, 121015, 071312,    5.4,   0.0,
2790201419, 121015, 071127,   26.0,   0.0,
2790201417, 121015, 070943,   46.6,   0.0,
2790201416, 121015, 070831,   59.3,   0.0,
2790201414, 121015, 070700,   76.0,   0.0,
2790201413, 121015, 070552,   86.6,   0.0,
2790201411, 121015, 070427,  101.7,   0.0,
2790201410, 121015, 070307,  113.7,   0.0,
2790201408, 121015, 070155,  125.1,   0.0,
2790201407, 121015, 070045,  136.1,   0.0,
2790201405, 121015, 065918,  149.9,   0.0,
2790201403, 121015, 065747,  175.9,   0.0,
2800201419, 011416, 071408,   26.0,   0.0,
2800201417, 011416, 071151,   45.5,   0.0,
2800201416, 011416, 070955,   61.1,   0.0,
2800201414, 011416, 070755,   75.9,   9.0,
2800201413, 011416, 070603,   85.7,   8.0,
2800201411, 011416, 070348,  100.1,  20.0,
2800201410, 011416, 070143,  115.0,  11.0,
2800201408, 011416, 065943,  125.9,  10.0,
2800201407, 011416, 065808,  136.1,   7.0,
2800201405, 011416, 065603,  150.9,   4.0,
2800201403, 011416, 065326,  175.4,   0.0,
2810201423, 021116, 071027,    7.3,   0.0,
2810201420, 021116, 070756,   27.5,   0.0,
2810201418, 021116, 070608,   46.1,   0.0,
2810201417, 021116, 070508,   58.6,   0.0,
2810201415, 021116, 070347,   73.8,   0.0,
2810201414, 021116, 070254,   85.0,   3.0,
2810201412, 021116, 070112,  100.9,   3.0,
2810201411, 021116, 070002,  115.8,  12.0,
2810201410, 021116, 065917,  118.9,  11.0,
2810201408, 021116, 065816,  124.9,  10.0,
2810201407, 021116, 065726,  134.8,   9.0,
2810201405, 021116, 065616,  149.3,   3.0,
2810201403, 021116, 065447,  174.1,   2.0,
2820201322, 031016, 090309,    7.1,   0.0,
2820201319, 031016, 090119,   24.8,   0.0,
2820201317, 031016, 085939,   46.8,   0.0,
2820201316, 031016, 085809,   60.4,   0.0,
2820201314, 031016, 085649,   75.2,   0.0,
2820201313, 031016, 085544,   84.3,   0.0,
2820201311, 031016, 085420,   99.4,   3.0,
2820201310, 031016, 085259,  114.9,   6.0,
2820201308, 031016, 085144,  125.6,   5.0,
2820201307, 031016, 085046,  134.5,  12.0,
2820201305, 031016, 084920,  149.4,   2.0,
2820201303, 031016, 084750,  176.9,   0.0,
2830201422, 041616, 072234,    4.4,   0.0,
2830201418, 041616, 071802,   44.1,   3.0,
2830201416, 041616, 071527,   60.4,   4.0,
2830201414, 041616, 071312,   75.1,   0.0,
2830201413, 041616, 071115,   84.8,   5.0,
2830201412, 041616, 070934,   99.1,  11.0,
2830201410, 041616, 070738,  114.1,   9.0,
2830201408, 041616, 070606,  124.5,   3.0,
2830201407, 041616, 070408,  134.3,  10.0,
2830201405, 041616, 070208,  151.9,  10.0,
2830201403, 041616, 065944,  175.5,   4.0,
2840200523, 052916, 114836,    5.2,   2.0,
2840200521, 052916, 114651,   25.2,   2.0,
2840200519, 052916, 114516,   45.8,   0.0,
2840200518, 052916, 114356,   59.4,   2.0,
2840200516, 052916, 114226,   75.1,   0.0,
2840200515, 052916, 114121,   85.5,   8.0,
2840200513, 052916, 113956,  100.3,  13.0,
2840200512, 052916, 113836,  115.3,  29.0,
2840200510, 052916, 113731,  125.6,  25.0,
2840200509, 052916, 113626,  135.3,  17.0,
2840200506, 052916, 113456,  149.8,   8.0,
2840200503, 052916, 113306,  175.4,   2.0,
2850201421, 071316, 065402,    5.2,   1.0,
2850201419, 071316, 065242,   24.7,   0.0,
2850201417, 071316, 065112,   44.8,   2.0,
2850201416, 071316, 065012,   59.7,   3.0,
2850201414, 071316, 064905,   75.1,   4.0,
2850201413, 071316, 064813,   85.4,   5.0,
2850201411, 071316, 064713,  100.0,   9.0,
2850201410, 071316, 064613,  114.9,  18.0,
2850201408, 071316, 064513,  124.9,  34.0,
2850201405, 071316, 064312,  150.7,   0.0,
2850201403, 071316, 064153,  175.3,   7.0,
2860201321, 081116, 065628,    5.7,   2.0,
2860201319, 081116, 065508,   25.5,   1.0,
2860201317, 081116, 065347,   45.9,   5.0,
2860201316, 081116, 065252,   59.9,   0.0,
2860201314, 081116, 065147,   74.8,   7.0,
2860201313, 081116, 065058,   85.1,  12.0,
2860201311, 081116, 064947,  100.8,   0.0,
2860201310, 081116, 064848,  114.8,  24.0,
2860201308, 081116, 064738,  125.9,  35.0,
2860201307, 081116, 064643,  134.3,  16.0,
2860201305, 081116, 064518,  151.2,  17.0,
2860201303, 081116, 064343,  176.1,   4.0,
2870201414, 101716, 071146,    4.9,   1.0,
2870201413, 101716, 071001,   26.3,   1.0,
2870201412, 101716, 070826,   45.3,   1.0,
2870201411, 101716, 070646,   61.5,   4.0,
2870201410, 101716, 070521,   76.1,   6.0,
2870201409, 101716, 070406,   85.1,   5.0,
2870201408, 101716, 070241,  100.9,  29.0,
2870201407, 101716, 070116,  115.6,  25.0,
2870201406, 101716, 070000,  126.3,  21.0,
2870201405, 101716, 065845,  134.9,  21.0,
2870201404, 101716, 065715,  150.3,   7.0,
2870201403, 101716, 065536,  176.8,   7.0,
2880201324, 112816, 065736,    5.7,   1.0,
2880201323, 112816, 065515,   24.6,   0.0,
2880201322, 112816, 065349,   45.5,   1.0,
2880201321, 112816, 065240,   60.7,   1.0,
2880201320, 112816, 065135,   75.0,   0.0,
2880201319, 112816, 065045,   86.3,   2.0,
2880201318, 112816, 064930,  100.0,   0.0,
2880201317, 112816, 064830,  115.8,   5.0,
2880201316, 112816, 064734,  125.6,   2.0,
2880201315, 112816, 064634,  135.3,   0.0,
2880201314, 112816, 064525,  149.9,   0.0,
2880201313, 112816, 064355,  174.9,   0.0,
2890201314, 012517, 071020,    6.6,   0.0,
2890201313, 012517, 070759,   26.0,   2.0,
2890201312, 012517, 070623,   46.4,   1.0,
2890201311, 012517, 070459,   59.4,   1.0,
2890201310, 012517, 070334,   74.8,   4.0,
2890201309, 012517, 070223,   86.1,  13.0,
