Hawaii Ocean Time-series : 12-Sep-2023 23:44:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2360200216, 110411, 133412,   47.1,  5.059,
2360200213, 110411, 133136,   78.5,  4.607,
2360200210, 110411, 132922,   99.9,  3.888,
2360200207, 110411, 132640,  126.7,  3.186,
2370200620, 112911, 145306,    5.6,  5.073,
2370200617, 112911, 145125,   24.8,  4.892,
2370200614, 112911, 144936,   45.5,  4.932,
2370200611, 112911, 144719,   74.2,  5.258,
2370200608, 112911, 144526,   99.6,  4.926,
2370200605, 112911, 144322,  124.1,  3.609,
2370200604, 112911, 144148,  149.4,  2.930,
2380200822, 122011, 121234,    5.6,  4.920,
2380200817, 122011, 121014,   24.9,  4.917,
2380200814, 122011, 120834,   44.8,  4.892,
2380200811, 122011, 120614,   73.8,  4.884,
2380200808, 122011, 120424,   99.4,  4.838,
2380200806, 122011, 120250,  124.0,  3.213,
2380200804, 122011, 120124,  149.8,  2.769,
2390200222, 011812, 133111,    5.6,  4.310,
2390200219, 011812, 132921,   25.8,  3.950,
2390200216, 011812, 132742,   44.4,  4.132,
2390200213, 011812, 132538,   75.7,  4.322,
2390200210, 011812, 132334,  100.2,  4.188,
2390200207, 011812, 132103,  127.5,  3.990,
2410200120, 050112, 121104,    5.7,  4.441,
2410200117, 050112, 120934,   23.9,  4.919,
2410200114, 050112, 120809,   46.1,  4.749,
2410200111, 050112, 120629,   78.2,  4.912,
2410200108, 050112, 120448,  101.1,  5.025,
2410200105, 050112, 120324,  125.5,  3.369,
2410200104, 050112, 120219,  148.8,  3.782,
2420200120, 053012, 123757,    4.5,  3.995,
2420200117, 053012, 123627,   24.4,  3.996,
2420200114, 053012, 123506,   45.6,  3.935,
2420200111, 053012, 123342,   73.8,  4.701,
2420200108, 053012, 123213,  100.9,  4.494,
2420200105, 053012, 123042,  123.9,  3.390,
2420200104, 053012, 122932,  148.9,  3.083,
2430200122, 062612, 131416,    5.0,  4.973,
2430200118, 062612, 131138,   24.8,  4.419,
2430200115, 062612, 130928,   45.4,  4.630,
2430200112, 062612, 130718,   75.1,  4.692,
2430200109, 062612, 130517,   99.5,  3.578,
2430200106, 062612, 130308,  125.2,  3.057,
2430200105, 062612, 130128,  149.6,  2.676,
2440200220, 073112, 131117,    6.7,  4.810,
2440200217, 073112, 130906,   24.4,  5.015,
2440200214, 073112, 130716,   45.4,  5.236,
2440200211, 073112, 130505,   75.7,  5.058,
2440200208, 073112, 130305,  100.3,  3.989,
2440200205, 073112, 130105,  124.6,  3.210,
2450200120, 081712, 125930,    5.2,  5.609,
2450200117, 081712, 125736,   24.7,  6.609,
2450200114, 081712, 125559,   45.4,  6.548,
2450200111, 081712, 125406,   75.3,  5.140,
2450200108, 081712, 125223,  100.3,  4.276,
2450200105, 081712, 125032,  126.3,  3.306,
2460200122, 091412, 125236,    5.5,  5.099,
2460200119, 091412, 125001,   24.6,  5.210,
2460200116, 091412, 124819,   45.5,  4.897,
2460200113, 091412, 124632,   75.3,  5.572,
2460200110, 091412, 124440,  100.5,  4.229,
2460200107, 091412, 124243,  124.5,  3.613,
2460200104, 091412, 124031,  149.9,  3.255,
2470200119, 100712, 122551,    5.6,  5.664,
2470200116, 100712, 122341,   25.2,  5.315,
2470200113, 100712, 122151,   45.3,  4.798,
2470200110, 100712, 121941,   75.4,  5.528,
2470200107, 100712, 121741,  100.2,  3.871,
2470200104, 100712, 121551,  125.5,  3.030,
2480200120, 120312, 130123,    5.9,  4.034,
2480200117, 120312, 125824,   25.5,  4.159,
2480200114, 120312, 125624,   44.3,  4.082,
2480200111, 120312, 125356,   75.4,  4.085,
2480200108, 120312, 125134,  100.1,  3.467,
2480200105, 120312, 124836,  124.8,  2.652,
2490200120, 021213, 131056,    7.9,  4.755,
2490200117, 021213, 130811,   25.4,  4.953,
2490200114, 021213, 130608,   45.6,  4.983,
2490200111, 021213, 130352,   75.1,  4.336,
2490200108, 021213, 130126,  100.0,  4.301,
2490200105, 021213, 125905,  124.3,  4.420,
2490200104, 021213, 125721,  150.0,  2.825,
2500200221, 030613, 130726,    6.4,  4.431,
2500200218, 030613, 130406,   25.2,  4.808,
2500200215, 030613, 130145,   45.2,  4.498,
2500200212, 030613, 125945,   76.4,  4.868,
2500200209, 030613, 125746,   99.5,  4.727,
2500200206, 030613, 125555,  124.9,  3.776,
2510200121, 040513, 125853,    5.3,  4.476,
2510200117, 040513, 125633,   25.4,  3.839,
2510200114, 040513, 125443,   45.9,  3.706,
2510200111, 040513, 125233,   75.7,  3.226,
2510200108, 040513, 125044,  100.0,  5.588,
2510200105, 040513, 124855,  125.2,  4.254,
2510200104, 040513, 124725,  149.0,  3.916,
2520200222, 051713, 140730,    7.3,  5.228,
2520200218, 051713, 140407,   25.0,  5.131,
2520200215, 051713, 140206,   45.3,  5.723,
2520200212, 051713, 135936,   75.5,  4.561,
2520200209, 051713, 135729,  100.4,  3.990,
2520200206, 051713, 135440,  124.8,  3.196,
2520200205, 051713, 135308,  149.8,  3.386,
2530200222, 062513, 132306,    8.0,  3.638,
2530200218, 062513, 132048,   25.9,  4.247,
2530200215, 062513, 131905,   45.1,  3.125,
2530200212, 062513, 131706,   76.1,  3.926,
2530200209, 062513, 131514,  101.8,  3.831,
2530200206, 062513, 131337,  125.7,  3.192,
2530200205, 062513, 131207,  149.9,  2.397,
2540200120, 091113, 130301,    6.8,  5.676,
2540200117, 091113, 130020,   25.4,  5.864,
2540200114, 091113, 125820,   45.2,  5.852,
2540200111, 091113, 125550,   75.6,  4.826,
2540200108, 091113, 125350,  101.3,  3.673,
2540200105, 091113, 125150,  125.8,  2.883,
2560200121, 102713, 125446,    7.7,  5.518,
2560200117, 102713, 125215,   25.4,  5.842,
2560200114, 102713, 125015,   45.7,  5.729,
2560200111, 102713, 124756,   75.5,  4.757,
2560200108, 102713, 124545,  100.2,  4.064,
2560200105, 102713, 124355,  124.8,  3.480,
2570200121, 112613, 130008,    7.6,  5.425,
2570200117, 112613, 125806,   25.2,  5.776,
2570200114, 112613, 125621,   45.7,  5.682,
2570200111, 112613, 125351,   74.3,  5.214,
2570200108, 112613, 125117,  100.7,  4.539,
2570200105, 112613, 124858,  126.3,  3.534,
2580200121, 122013, 131059,    7.5,  4.586,
2580200118, 122013, 130829,   25.2,  4.392,
2580200115, 122013, 130619,   45.6,  4.705,
2580200112, 122013, 130330,   74.8,  3.757,
2580200109, 122013, 130109,  100.5,  3.295,
2580200106, 122013, 125859,  125.6,  2.660,
2580200104, 122013, 125641,  149.5,  2.097,
2590200121, 011514, 131121,    6.3,  4.088,
2590200118, 011514, 130023,   23.8,  4.046,
2590200115, 011514, 125643,   45.9,  3.813,
2590200112, 011514, 125343,   75.9,  4.129,
2590200109, 011514, 125042,  101.1,  3.768,
2590200106, 011514, 124743,  126.2,  3.262,
2600200120, 021414, 133246,    7.8,  4.156,
2600200117, 021414, 133016,   26.2,  3.962,
2600200114, 021414, 132726,   44.2,  3.761,
2600200111, 021414, 132416,   74.9,  4.087,
2600200108, 021414, 132126,  100.4,  3.702,
2600200105, 021414, 131756,  125.4,  2.683,
2610200120, 030514, 132258,    7.0,  5.248,
2610200117, 030514, 132042,   24.8,  4.975,
2610200114, 030514, 131736,   46.4,  5.125,
2610200111, 030514, 131500,   75.5,  4.188,
2610200108, 030514, 131229,  100.5,  4.179,
2610200105, 030514, 131000,  124.2,  2.509,
2620200120, 041014, 131508,    4.5,  3.861,
2620200117, 041014, 131229,   23.9,  3.929,
2620200114, 041014, 131003,   45.0,  3.990,
2620200111, 041014, 130658,   72.8,  4.004,
2620200108, 041014, 130439,   99.2,  3.428,
2620200105, 041014, 130148,  124.8,  3.456,
2620200104, 041014, 125948,  149.1,  3.627,
2630200721, 060114, 130042,    5.4,  4.837,
2630200717, 060114, 125847,   24.7,  4.696,
2630200714, 060114, 125702,   44.8,  4.408,
2630200711, 060114, 125459,   75.4,  3.360,
2630200708, 060114, 125313,  100.2,  3.486,
2630200705, 060114, 125119,  125.6,  2.707,
2630200704, 060114, 125003,  149.4,  2.482,
2640200121, 063014, 125725,    5.1,  5.678,
2640200118, 063014, 125535,   24.9,  5.778,
2640200115, 063014, 125354,   45.2,  5.103,
2640200112, 063014, 125144,   75.7,  4.042,
2640200109, 063014, 124954,  100.0,  3.194,
2640200105, 063014, 124635,  124.4,  3.086,
2650200120, 091414, 130204,    7.7,  5.684,
2650200117, 091414, 125944,   25.6,  6.079,
2650200114, 091414, 125803,   45.1,  6.736,
2650200111, 091414, 125613,   75.3,  7.889,
2650200108, 091414, 125428,  100.2,  3.297,
2650200105, 091414, 125229,  125.1,  3.604,
2660200120, 101314, 130315,    8.0,  5.767,
2660200117, 101314, 130110,   24.9,  5.891,
2660200114, 101314, 125930,   45.8,  6.371,
2660200111, 101314, 125740,   74.1,  4.757,
2660200108, 101314, 125550,  100.3,  3.971,
2660200105, 101314, 125350,  124.6,  2.850,
2670200120, 112114, 125007,    6.9,  5.039,
2670200117, 112114, 124812,   25.4,  4.802,
2670200114, 112114, 124623,   44.7,  5.433,
2670200111, 112114, 124413,   74.4,  5.304,
2670200108, 112114, 124207,  100.4,  3.695,
2670200105, 112114, 124002,  125.4,  2.998,
2680200120, 121614, 130809,    7.4,  4.922,
2680200117, 121614, 130534,   25.1,  4.940,
2680200114, 121614, 130354,   44.5,  4.665,
2680200111, 121614, 130200,   75.3,  5.692,
