Hawaii Ocean Time-series : 05-Sep-2023 03:23:28
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, sil, 
#, mmddyy, hhmmss, dbar, umol/kg, 
2990200224, 011718, 191347,    6.7,   1.19,
2990200324, 011718, 225843,    5.8,   1.35,
2990200323, 011718, 225652,   51.7,   1.29,
2990200322, 011718, 225501,  100.0,   1.33,
2990200321, 011718, 225239,  134.0,   2.07,
3000200224, 022518, 200426,    6.4,   1.31,
3000200324, 022518, 225807,    5.8,   1.22,
3000200323, 022518, 225521,   52.2,   1.43,
3000200322, 022518, 225332,   98.0,   1.17,
3000200321, 022518, 225145,  135.7,   1.79,
3000200320, 022518, 225039,  148.6,   1.91,
3010200124, 041718, 235043,    6.0,   1.25,
3010200224, 041818, 025056,    5.8,   1.21,
3010200223, 041818, 024945,   26.9,   1.55,
3010200222, 041818, 024741,   75.5,   1.49,
3010200221, 041818, 024526,  126.4,   1.23,
3020200124, 051518, 202215,    5.9,   1.85,
3020200224, 051518, 233120,    8.6,   1.32,
3020200223, 051518, 232914,   54.9,   1.84,
3020200222, 051518, 232740,   90.6,   2.04,
3030200224, 062618, 202250,    5.8,   1.16,
3030200324, 062718, 005013,   44.3,   1.11,
3030200323, 062718, 004841,   54.7,   1.07,
3030200322, 062718, 004647,   84.9,   1.19,
3030200321, 062718, 004504,  135.0,   1.77,
3040200224, 072418, 192122,    5.5,   0.83,
3040200324, 072418, 222231,   59.0,   1.14,
3040200323, 072418, 222111,   72.2,   1.20,
3040200322, 072418, 221956,   91.7,   1.34,
3040200321, 072418, 221856,  107.2,   1.47,
3050200224, 091018, 191027,    6.0,   2.05,
3050200324, 091018, 223308,    6.1,   1.67,
3050200323, 091018, 223158,   11.8,   2.03,
3050200320, 091018, 222744,   62.7,   2.19,
3050200319, 091018, 222542,   94.1,   2.39,
3050200318, 091018, 222323,  141.8,   2.89,
3060200224, 101218, 210328,    5.6,   0.95,
3060200324, 101318, 002455,    5.6,   0.86,
3060200323, 101318, 002256,   39.8,   0.89,
3060200322, 101318, 002151,   52.1,   0.98,
3060200321, 101318, 002022,   70.0,   1.28,
3060200320, 101318, 001916,   84.6,   1.47,
3060200319, 101318, 001802,   94.0,   1.63,
3060200318, 101318, 001636,  116.3,   1.90,
3060200317, 101318, 001455,  135.8,   2.48,
3070200224, 111618, 203402,    4.6,   1.19,
3070200324, 111618, 233615,   64.6,   1.40,
3070200322, 111618, 233333,   93.6,   1.64,
3080200124, 121118, 223558,    5.7,   0.76,
3090200324, 011519, 232417,    6.0,   0.99,
3090200323, 011519, 232202,   58.9,   0.97,
3090200322, 011519, 231950,  112.4,   1.32,
3090200321, 011519, 231844,  122.9,   1.43,
3090200622, 011619, 082552,    4.6,   0.94,
3090200621, 011619, 082427,   14.7,   0.97,
3090200619, 011619, 082302,   23.3,   0.97,
3090200618, 011619, 082142,   34.3,   0.98,
3090200616, 011619, 082027,   45.3,   0.97,
3090200615, 011619, 081912,   61.5,   0.90,
3090200614, 011619, 081807,   73.5,   1.14,
3090200611, 011619, 081452,   98.1,   1.29,
3090200608, 011619, 081132,  124.9,   1.73,
3100200124, 021919, 185159,    4.7,   1.08,
3100200224, 022019, 040502,    4.7,   1.02,
3100200223, 022019, 040217,   45.1,   1.13,
3100200222, 022019, 035932,   82.2,   1.00,
3100200221, 022019, 035718,  112.0,   1.14,
3100200220, 022019, 035507,  141.7,   1.93,
3100200322, 022019, 085017,    7.5,   1.08,
3100200321, 022019, 084822,   16.4,   1.07,
3100200319, 022019, 084702,   23.8,   0.99,
3100200318, 022019, 084552,   35.3,   1.32,
3100200317, 022019, 084442,   42.9,   1.15,
3100200316, 022019, 084322,   59.8,   0.99,
3100200315, 022019, 084202,   75.3,   1.11,
3100200312, 022019, 083832,   97.9,   1.04,
3100200309, 022019, 083457,  124.9,   1.66,
3110200224, 050219, 191842,    4.2,   1.26,
3110200324, 050219, 221308,    5.2,   1.39,
3110200323, 050219, 221037,   26.3,   1.42,
3110200322, 050219, 220839,   66.2,   1.24,
3110200321, 050219, 220622,  116.0,   1.62,
3110200320, 050219, 220523,  124.8,   1.46,
3110200319, 050219, 220435,  130.8,   1.72,
3110200622, 050319, 073153,    5.7,   1.02,
3110200621, 050319, 073037,   15.2,   1.03,
3110200619, 050319, 072917,   25.1,   1.04,
3110200618, 050319, 072817,   34.0,   1.04,
3110200617, 050319, 072712,   45.3,   1.04,
3110200616, 050319, 072542,   60.8,   1.09,
3110200615, 050319, 072417,   74.9,   1.01,
3110200612, 050319, 072042,  100.0,   1.19,
3110200609, 050319, 071642,  124.6,   1.40,
3110200607, 050319, 071356,  149.4,   2.09,
3120200324, 061119, 232938,    4.4,   0.99,
3120200323, 061119, 232809,   24.5,   1.02,
3120200322, 061119, 232639,   53.0,   0.86,
3120200319, 061119, 232244,  115.9,   1.18,
3120200317, 061119, 232044,  145.3,   1.63,
3120200622, 061219, 073149,    5.2,   0.99,
3120200621, 061219, 073039,   16.3,   1.05,
3120200619, 061219, 072929,   25.8,   1.05,
3120200618, 061219, 072819,   34.1,   1.04,
3120200617, 061219, 072719,   44.5,   1.02,
3120200616, 061219, 072604,   58.5,   1.05,
3120200615, 061219, 072455,   75.4,   1.13,
3120200612, 061219, 072154,   99.6,   1.06,
3120200609, 061219, 071844,  124.6,   1.24,
3120200607, 061219, 071638,  149.0,   1.70,
3130200324, 070119, 224146,    5.3,   0.94,
3130200422, 070219, 015936,   79.1,   1.86,
3130200421, 070219, 015727,   95.3,   1.87,
3130200420, 070219, 015521,  119.2,   2.55,
3130200622, 070219, 071741,    4.1,   1.16,
3130200621, 070219, 071622,   14.8,   1.15,
3130200619, 070219, 071452,   25.1,   1.19,
3130200618, 070219, 071316,   34.9,   1.16,
3130200617, 070219, 071146,   44.8,   1.14,
3130200616, 070219, 071016,   60.1,   1.28,
3130200615, 070219, 070846,   74.2,   1.48,
3130200612, 070219, 070501,   99.8,   1.49,
3130200609, 070219, 070141,  124.1,   1.69,
3130200607, 070219, 065836,  148.9,   2.02,
3140200224, 080219, 195635,    4.8,   0.59,
3140200324, 080219, 231005,    4.8,   0.85,
3140200323, 080219, 230740,   45.4,   0.92,
3140200322, 080219, 230545,   75.1,   0.67,
3140200321, 080219, 230401,  102.1,   1.17,
3140200320, 080219, 230255,  109.7,   1.16,
3140200319, 080219, 230110,  139.6,   1.32,
3140200622, 080319, 071825,    5.5,   1.01,
3140200621, 080319, 071534,   14.0,   1.02,
3140200619, 080319, 071420,   24.7,   1.11,
3140200618, 080319, 071321,   35.6,   0.98,
3140200617, 080319, 071230,   45.2,   1.08,
3140200616, 080319, 071134,   59.3,   1.17,
3140200615, 080319, 071020,   75.6,   1.11,
3140200612, 080319, 070733,  100.4,   1.15,
3140200609, 080319, 070441,  125.5,   1.37,
3140200607, 080319, 070226,  149.0,   1.56,
3150200224, 090419, 185808,    4.3,   1.09,
3150200323, 090419, 215656,   52.1,   1.91,
3150200322, 090419, 215547,   64.8,   1.17,
3150200321, 090419, 215446,   75.1,   1.81,
3150200320, 090419, 215346,   82.5,   1.93,
3150200319, 090419, 215226,  102.8,   1.66,
3150200318, 090419, 215123,  111.9,   1.76,
3150200317, 090419, 215020,  125.8,   1.84,
3150200316, 090419, 214926,  131.5,   2.45,
3150200622, 090519, 072556,    5.5,   1.11,
3150200621, 090519, 072436,   14.4,   1.12,
3150200619, 090519, 072241,   24.3,   1.10,
3150200618, 090519, 072122,   34.9,   1.10,
3150200617, 090519, 072005,   44.5,   1.11,
3150200616, 090519, 071831,   60.2,   1.18,
3150200615, 090519, 071701,   73.9,   1.15,
3150200612, 090519, 071306,   99.5,   1.32,
3150200609, 090519, 070916,  125.1,   1.38,
3150200607, 090519, 070621,  149.4,   2.11,
3160200224, 101719, 202356,    4.8,   2.78,
3160200324, 101819, 001927,    4.6,   1.27,
3160200323, 101819, 001742,   54.6,   2.12,
