Hawaii Ocean Time-series : 11-Sep-2023 23:31:13
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chlc4, 
#, mmddyy, hhmmss, dbar, ng/l, 
0360201413, -00009, -00009,  144.4,   8.0,
0370201217, 061092, 100258,    9.0,   5.0,
0370201216, 061092, 100159,   28.8,   2.0,
0370201215, 061092, 100047,   48.4,   3.0,
0370201214, 061092, 095915,   79.0,   5.0,
0370201213, 061092, 095757,  104.4,   5.0,
0370201212, 061092, 095701,  119.3,   6.0,
0370201211, 061092, 095620,  123.7,   7.0,
0370201210, 061092, 095521,  129.0,   3.0,
0370201209, 061092, 095429,  134.0,   2.0,
0370201208, 061092, 095324,  139.0,   2.0,
0380201617, 070692, 132136,   47.5,   2.0,
0380201616, 070692, 132037,   78.4,   5.0,
0380201615, 070692, 131955,   88.6,   3.0,
0380201614, 070692, 131905,   98.8,   4.0,
0380201613, 070692, 131821,  109.0,   7.0,
0380201612, 070692, 131741,  114.1,   7.0,
0380201611, 070692, 131702,  119.0,   5.0,
0380201610, 070692, 131623,  124.8,   4.0,
0380201609, 070692, 131540,  134.9,   3.0,
0390200515, 080592, 073709,   29.7,   1.0,
0390200514, 080592, 073611,   49.0,   1.0,
0390200513, 080592, 073516,   64.5,   1.0,
0390200512, 080592, 073413,   79.7,   2.0,
0390200511, 080592, 073326,   88.8,   3.0,
0390200510, 080592, 073231,  104.4,   6.0,
0390200509, 080592, 073124,  119.7,   6.0,
0390200508, 080592, 073032,  128.6,   6.0,
0390200507, 080592, 072935,  141.0,   6.0,
0410201518, -00009, -00009,    5.8,   3.0,
0410201517, -00009, -00009,   24.7,   2.0,
0410201516, -00009, -00009,   44.4,   6.0,
0410201515, -00009, -00009,   75.5,   6.0,
0410201514, -00009, -00009,   90.7,   7.0,
0410201513, -00009, -00009,   95.7,   8.0,
0410201512, -00009, -00009,  100.8,  10.0,
0410201511, -00009, -00009,  105.8,  10.0,
0410201510, -00009, -00009,  115.7,   7.0,
0410201509, -00009, -00009,  125.9,   4.0,
0420200512, -00009, -00009,    5.0,   2.0,
0420200511, -00009, -00009,   25.0,   3.0,
0420200510, -00009, -00009,   60.0,   3.0,
0420200509, -00009, -00009,   80.0,   4.0,
0420200508, -00009, -00009,   90.0,   4.0,
0420200507, -00009, -00009,  100.0,   5.0,
0420200506, -00009, -00009,  110.0,   6.0,
0420200505, -00009, -00009,  125.0,  10.0,
0420200504, -00009, -00009,  150.0,   5.0,
0440201311, 012193, 114612,   24.7,   1.0,
0440201310, 012193, 114512,   43.4,   1.0,
0490201715, 091593, 095910,   75.9,   1.0,
3110201424, 050419, 070239,    4.3,   0.0,
3320201314, 071821, 074517,    5.0,   0.0,
3320201313, 071821, 074343,   25.7,   0.0,
3320201312, 071821, 074153,   46.6,   0.0,
3320201311, 071821, 074018,   60.6,   0.0,
3320201310, 071821, 073918,   75.4,   0.0,
3320201309, 071821, 073814,   85.3,   0.0,
3320201308, 071821, 073652,  101.5,   0.0,
3320201307, 071821, 073548,  114.5,   0.0,
3320201306, 071821, 073448,  124.7,   0.0,
3320201305, 071821, 073348,  135.4,   0.0,
