Hawaii Ocean Time-series : 05-Sep-2023 22:50:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0290200611, 081091, 095321,  117.7,   4.91,
0290200610, 081091, 095219,  129.6,   5.21,
0290200609, 081091, 095121,  139.3,   6.04,
0300200514, 091891, 055457,  111.4,   5.22,
0300200513, 091891, 055406,  121.8,   5.27,
0300200512, 091891, 055306,  131.5,   5.16,
0300200511, 091891, 055209,  141.7,   5.31,
0300200615, 091891, 082714,   11.3,   5.57,
0300200612, 091891, 082414,   31.1,   5.33,
0300200611, 091891, 082254,   41.1,   5.45,
0300200610, 091891, 082113,   50.8,   5.29,
0300200608, 091891, 081922,   67.7,   5.41,
0300200607, 091891, 081804,   83.3,   5.52,
0300200606, 091891, 081650,   95.6,   5.80,
0300200605, 091891, 081542,  105.4,   5.72,
0310200416, 102191, 075430,  103.9,   6.51,
0310200415, 102191, 075327,  114.6,   4.94,
0310200413, 102191, 075154,  124.7,   5.15,
0310200412, 102191, 075100,  135.1,   5.02,
0310200518, 102191, 104230,    6.7,   6.56,
0310200516, 102191, 104112,   16.8,   6.09,
0310200515, 102191, 104021,   27.0,   6.81,
0310200513, 102191, 103902,   35.9,   5.49,
0310200512, 102191, 103810,   46.5,   5.62,
0310200511, 102191, 103710,   61.3,   7.29,
0310200509, 102191, 103514,   87.1,   6.56,
0310200508, 102191, 103421,   97.4,   5.55,
0320200512, 120691, 064650,   99.2,   5.86,
0320200511, 120691, 064602,  105.3,   5.25,
0320200510, 120691, 064511,  115.8,   5.60,
0320200509, 120691, 064411,  126.5,   6.37,
0320200508, 120691, 064320,  137.6,   5.85,
0320200612, 120691, 090247,    6.6,   6.05,
0320200609, 120691, 090013,   24.3,   6.15,
0320200608, 120691, 085852,   35.7,   6.22,
0320200607, 120691, 085751,   45.7,   5.82,
0320200606, 120691, 085700,   61.1,   6.05,
0320200605, 120691, 085605,   75.4,   5.70,
0320200604, 120691, 085503,   88.6,   5.93,
0330200412, -00009, -00009,  107.2,   5.95,
0330200411, -00009, -00009,  115.5,   5.15,
0330200410, -00009, -00009,  126.7,   5.41,
0330200409, -00009, -00009,  135.9,   5.80,
0330200513, -00009, -00009,    5.8,   5.86,
0330200510, -00009, -00009,   26.3,   6.08,
0330200509, -00009, -00009,   36.4,   5.17,
0330200508, -00009, -00009,   46.7,   5.74,
0330200507, -00009, -00009,   62.0,   5.39,
0330200506, -00009, -00009,   77.4,   5.28,
0330200505, -00009, -00009,   87.9,   5.39,
0330200504, -00009, -00009,   96.7,   5.51,
0340201108, 021592, 093935,  138.0,   4.98,
0340201217, 021592, 130334,    5.6,   7.72,
0340201214, 021592, 130057,   29.9,   5.71,
0340201213, 021592, 125951,   37.6,   5.48,
0340201211, 021592, 125659,   63.9,   5.79,
0340201210, 021592, 125447,   77.3,   5.54,
0340201209, 021592, 125253,   85.0,   6.43,
0340201207, 021592, 125045,   92.5,   5.58,
0350200212, -00009, -00009,  118.2,   6.05,
0350200211, -00009, -00009,  121.2,   4.92,
0350200210, -00009, -00009,  126.7,   5.51,
0350200208, -00009, -00009,  136.8,   4.69,
0350200311, -00009, -00009,    7.2,   6.00,
0350200309, -00009, -00009,   26.4,   6.46,
0350200308, -00009, -00009,   37.2,   6.41,
0350200307, -00009, -00009,   47.3,   5.70,
0350200306, -00009, -00009,   61.3,   6.63,
0350200305, -00009, -00009,   78.2,   6.07,
0350200304, -00009, -00009,   87.9,   5.26,
0350200303, -00009, -00009,   99.1,   6.02,
0360200521, -00009, -00009,    8.2,   5.78,
0360200520, -00009, -00009,   18.3,   5.90,
0360200518, -00009, -00009,   29.5,   5.72,
0360200517, -00009, -00009,   38.4,   5.94,
0360200516, -00009, -00009,   48.7,   5.87,
0360200514, -00009, -00009,   78.5,   5.88,
0360200513, -00009, -00009,   88.8,   5.81,
0360200512, -00009, -00009,   99.2,   5.97,
0360200511, -00009, -00009,  109.3,   5.92,
0360200510, -00009, -00009,  119.6,   5.98,
0360200509, -00009, -00009,  128.3,   5.78,
0360200508, -00009, -00009,  138.2,   5.14,
0370200423, 060992, 071802,    4.6,   5.46,
0370200420, 060992, 071444,   24.7,   6.30,
0370200418, 060992, 071302,   34.6,   5.96,
0370200417, 060992, 071144,   44.8,   6.01,
0370200416, 060992, 071021,   59.6,   5.84,
0370200415, 060992, 070851,   74.9,   5.63,
0370200414, 060992, 070726,   84.9,   5.43,
0370200413, 060992, 070602,   94.9,   5.47,
